model,trainset_size,trainset_num,agg,strict,ent_type,partial,exact
GottBERT_base_last,698,1,max,0.34396971335857224,0.6035694970254192,0.5776095186587346,0.40670632774472687
GottBERT_base_last,698,1,simple,0.15154471544715448,0.5066666666666667,0.3931707317073171,0.175609756097561
GottBERT_base_last,698,1,first,0.3016548463356974,0.7271867612293144,0.6170212765957447,0.35555555555555557
GottBERT_base_last,698,1,average,0.3118018455560952,0.7013113161728995,0.6100048567265662,0.3681398737251093
distilbert-base-multilingual-cased,698,1,max,0.468213058419244,0.654639175257732,0.6752577319587629,0.5532646048109966
distilbert-base-multilingual-cased,698,1,simple,0.21913161465400272,0.5203527815468114,0.4487788331071913,0.26526458616010856
distilbert-base-multilingual-cased,698,1,first,0.46683893195521103,0.6546080964685616,0.6744186046511629,0.5521102497846684
distilbert-base-multilingual-cased,698,1,average,0.468213058419244,0.6554982817869415,0.6752577319587629,0.5532646048109966
bert-base-german-cased-oldvocab,698,1,max,0.44220700765203386,0.6282722513089005,0.6435763189689891,0.5171163914619413
bert-base-german-cased-oldvocab,698,1,simple,0.1477132262051916,0.48578491965389375,0.3856613102595797,0.17490729295426455
bert-base-german-cased-oldvocab,698,1,first,0.43982407037185123,0.6261495401839264,0.6425429828068772,0.5157936825269893
bert-base-german-cased-oldvocab,698,1,average,0.44399677679290894,0.6301369863013698,0.6454472199838841,0.5189363416599516
xlm-roberta-base,698,1,max,0.33773087071240104,0.6385224274406333,0.6052770448548812,0.41160949868073876
xlm-roberta-base,698,1,simple,0.1544376802306953,0.4774110861903236,0.3899391220762576,0.18583787247677028
xlm-roberta-base,698,1,first,0.3042008691453404,0.7107677450507001,0.6286817962337035,0.37180106228874943
xlm-roberta-base,698,1,average,0.3125918667319941,0.7045565899069083,0.6266536011758942,0.3811856932876042
bert-base-german-europeana-cased,698,1,max,0.4862155388471178,0.6758563074352548,0.6804511278195489,0.5588972431077696
bert-base-german-europeana-cased,698,1,simple,0.15945330296127563,0.5284738041002277,0.40481614057923854,0.18353400585746826
bert-base-german-europeana-cased,698,1,first,0.49040867389491244,0.6763969974979149,0.6822351959966638,0.5629691409507923
bert-base-german-europeana-cased,698,1,average,0.48578595317725753,0.6764214046822743,0.6806020066889632,0.5593645484949833
bert-base-german-cased,698,1,max,0.46460537021969084,0.6484947111472742,0.6602929210740439,0.5370219690805533
bert-base-german-cased,698,1,simple,0.15318097591105623,0.49536751080914143,0.38851142680667083,0.1778875849289685
bert-base-german-cased,698,1,first,0.4678267907729664,0.6483205180089032,0.660866046135168,0.5382436260623229
bert-base-german-cased,698,1,average,0.46485168630637946,0.6485168630637952,0.6603006907761072,0.5371800081267777
